Round No.,Team No.,Did they move off the starting line?,Highest Reef Level Scored:,Number of Coral Scored:,Number of Algae Scored in Processor:,Number of Algae Scored in The Net:,Coral Scored on Level 1 (bottom):,Coral Scored on Level 2:,Coral Scored on Level 3:,Coral Scored on Level 4 (top):,Algae Scored in The Processor:,Algae Scored in The Net (robot):,Algae Scored in The Net (human),Which cage did they climb on?,Robot Speed:,Robot Driving Stability:,Robot Functioning Stability:,Notes:,Points Scored (Teleop),Points Scored (Auto),Total Points Scored (Excluding Penalties)
17.0,6036,Yes,1.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,32.0,6.0,38.0
17.0,6036,Yes,1.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,32.0,6.0,38.0
17.0,6036,Yes,1.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,32.0,6.0,38.0
18.0,7332,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
18.0,7332,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
18.0,7332,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,0.0,0.0
18.0,1622,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,0.0,0.0,0.0
19.0,7796,Yes,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Cage (low),Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,10.0,10.0
19.0,7796,Yes,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Cage (low),Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,10.0,10.0
19.0,6902,Yes,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,7.0,3.0,10.0
19.0,7796,Yes,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Cage (low),Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,10.0,10.0
1.0,4327,Yes,0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,21.0,3.0,24.0
19.0,6903,Yes,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,4.0,9.0,13.0
19.0,6903,Yes,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,4.0,9.0,13.0
19.0,6902,Yes,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,4.0,9.0,13.0
19.0,6902,Yes,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,4.0,9.0,13.0
19.0,6902,Yes,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,4.0,9.0,13.0
20.0,6364,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,N/A,0.0,3.0,3.0
20.0,6364,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,N/A,0.0,3.0,3.0
20.0,8338,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Deep Cage (low),Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,10.0,3.0,13.0
20.0,6364,Yes,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction,N/A,2.0,3.0,5.0
23.0,5516,Yes,4.0,3.0,0.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,52.0,10.0,62.0
24.0,4862,Yes,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,4.0,7.0,11.0
24.0,6390,Yes,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Temporarily Disabled,N/A,2.0,3.0,5.0
24.0,9465,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,6.0,3.0,9.0
24.0,4862,Yes,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,8.0,3.0,11.0
24.0,4862,Yes,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,8.0,3.0,11.0
1.0,3128,Yes,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,30.0,3.0,33.0
1.0,8338,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
25.0,7135,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
25.0,2122,Yes,0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,22.0,3.0,25.0
25.0,4270,Yes,4.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,38.0,10.0,48.0
25.0,6036,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Small Malfunction,N/A,17.0,3.0,20.0
25.0,6036,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Small Malfunction,N/A,17.0,3.0,20.0
25.0,5468,Yes,4.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,45.0,10.0,55.0
26.0,9550,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
26.0,9649,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,0.0,0.0,0.0
27.0,4253,Yes,0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,22.0,3.0,25.0
26.0,4327,Yes,0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,28.0,3.0,31.0
26.0,10527,Yes,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,8.0,3.0,11.0
26.0,7287,Yes,0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,29.0,3.0,32.0
26.0,7287,Yes,0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,29.0,3.0,32.0
26.0,10527,Yes,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,8.0,3.0,11.0
27.0,846,No,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,15.0,0.0,15.0
28.0,9044,Yes,0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,21.0,3.0,24.0
27.0,7332,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,3.0,3.0
27.0,6353,No,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,9.0,0.0,9.0
27.0,7796,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
27.0,3990,No,4.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,33.0,7.0,40.0
27.0,3990,No,4.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,33.0,7.0,40.0
28.0,2438,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,20.0,10.0,30.0
28.0,2438,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,20.0,10.0,30.0
29.0,359,Yes,4.0,1.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,36.0,10.0,46.0
29.0,6903,Yes,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,11.0,3.0,14.0
29.0,9277,Yes,2.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,22.0,7.0,29.0
1.0,7673,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
1.0,7673,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
29.0,7551,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,12.0,6.0,18.0
29.0,7551,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,12.0,6.0,18.0
30.0,4862,Yes,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,6.0,3.0,9.0
30.0,4862,Yes,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,6.0,3.0,9.0
30.0,6364,Yes,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,22.0,3.0,25.0
30.0,9719,Yes,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,4.0,3.0,7.0
30.0,1622,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Permanent Failure (out for the round),N/A,0.0,0.0,0.0
30.0,9180,Yes,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,20.0,7.0,27.0
30.0,3128,Yes,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,36.0,6.0,42.0
31.0,8339,No,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,7.0,7.0
31.0,9449,Yes,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,2.0,3.0,5.0
31.0,6390,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,15.0,3.0,18.0
31.0,6390,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,15.0,3.0,18.0
31.0,5516,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,40.0,10.0,50.0
31.0,10384,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Shallow Cage (high),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,12.0,3.0,15.0
32.0,8503,No,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,28.0,3.0,31.0
32.0,9292,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
32.0,5461,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
32.0,7167,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Permanent Failure (out for the round),N/A,0.0,0.0,0.0
33.0,2122,Yes,4.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,43.0,10.0,53.0
33.0,7287,Yes,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,24.0,6.0,30.0
1.0,9641,Yes,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,2.0,3.0,5.0
1.0,9641,Yes,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,2.0,3.0,5.0
32.0,846,No,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,5.0,0.0,5.0
32.0,846,No,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,5.0,0.0,5.0
33.0,10427,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,8.0,3.0,11.0
33.0,9550,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Permanent Failure (out for the round),N/A,0.0,0.0,0.0
34.0,3990,No,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,30.0,7.0,37.0
34.0,7688,Yes,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,14.0,3.0,17.0
34.0,7688,Yes,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,14.0,3.0,17.0
34.0,7190,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
34.0,7688,Yes,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,14.0,3.0,17.0
34.0,9277,Yes,0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,19.0,3.0,22.0
34.0,7796,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,10.0,10.0
33.0,5468,Yes,4.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,23.0,10.0,33.0
33.0,5468,Yes,4.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,23.0,10.0,33.0
35.0,4627,No,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,33.0,6.0,39.0
35.0,8338,Yes,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,19.0,3.0,22.0
1.0,1,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Deep Cage (low),Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,24.0,3.0,27.0
35.0,1622,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,None,Fast,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,N/A,16.0,3.0,19.0
35.0,1622,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,None,Fast,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,N/A,16.0,3.0,19.0
35.0,6902,Yes,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,18.0,9.0,27.0
35.0,10527,Yes,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,6.0,6.0,12.0
35.0,10527,Yes,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,6.0,6.0,12.0
35.0,10527,Yes,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,6.0,6.0,12.0
36.0,6364,No,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,14.0,0.0,14.0
36.0,4327,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,0.0,0.0
36.0,4327,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,0.0,0.0
36.0,4327,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Permanent Failure (out for the round),N/A,0.0,0.0,0.0
36.0,9044,Yes,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,4.0,3.0,7.0
36.0,9044,Yes,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,4.0,3.0,7.0
36.0,8339,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
37.0,7673,Yes,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,5.0,3.0,8.0
37.0,7673,Yes,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,5.0,3.0,8.0
37.0,5461,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
37.0,7332,Yes,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,3.0,3.0,6.0
37.0,6353,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,5.0,3.0,8.0
37.0,9180,Yes,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,8.0,6.0,14.0
38.0,359,Yes,4.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,34.0,10.0,44.0
38.0,3128,Yes,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,33.0,6.0,39.0
